title,author,tags
"Free people, remember this maxim: we may acquire liberty, but it is never recovered if it is once lost.",Jean-Jacques Rousseau,"Remember, Free, Lost"
"I'm a big advocate of freedom: freedom of speech, freedom of expression, freedom of thought.",Jimmy Wales,"Freedom Of Speech, Speech, Big"
Freedom is the sure possession of those alone who have the courage to defend it.,Pericles,"Alone, Courage, Who"
You can only be free if I am free.,Clarence Darrow,"I Am, Free, Only"
"The liberties of a people never were, nor ever will be, secure, when the transactions of their rulers may be concealed from them.",Patrick Henry,"Will, People, Never"
Necessity is blind until it becomes conscious. Freedom is the consciousness of necessity.,Karl Marx,"Blind, Consciousness, Necessity"
Do not allow to slip away from you freedoms the people who came before you won with such hard knocks.,D. H. Lawrence,"People, Hard, Who"
I wish that every human life might be pure transparent freedom.,Simone de Beauvoir,"Life, Wish, Human Life"
Seek freedom and become captive of your desires. Seek discipline and find your liberty.,Frank Herbert,"Your, Discipline, Find"
Heresy is another word for freedom of thought.,Graham Greene,"Thought, Word, Heresy"
Responsibility is the price of freedom.,Elbert Hubbard,"Responsibility, Price"
Liberty means responsibility. That is why most men dread it.,George Bernard Shaw,"Men, Responsibility, Liberty"
"I am not an Athenian or a Greek, but a citizen of the world.",Diogenes,"World, I Am, Citizen"
Free speech carries with it some freedom to listen.,Warren E. Burger,"Free, Speech, Free Speech"
Liberty cannot be preserved without general knowledge among the people.,John Adams,"Knowledge, People, Liberty"
A hungry man is not a free man.,Adlai Stevenson I,"Man, Free, Hungry"
Enslave the liberty of but one human being and the liberties of the world are put in peril.,William Lloyd Garrison,"World, Liberty, Human"
True individual freedom cannot exist without economic security and independence. People who are hungry and out of a job are the stuff of which dictatorships are made.,Franklin D. Roosevelt,"Independence, True, Security"
The right to be let alone is indeed the beginning of all freedoms.,William O. Douglas,"Alone, Beginning, Right"
No man is good enough to be another's master.,William Morris,"Good, Man, Enough"
Our freedom can be measured by the number of things we can walk away from.,Vernon Howard,"Walk, Things, Away"
"The more decisions that you are forced to make alone, the more you are aware of your freedom to choose.",Thornton Wilder,"Alone, Your, Choose"
The truth is I love being alive. And I love feeling free. So if I can't have those things then I feel like a caged animal and I'd rather not be in a cage. I'd rather be dead. And it's real simple. And I think it's not that uncommon.,Angelina Jolie,"Love, Truth, Simple"
"The only freedom which deserves the name is that of pursuing our own good, in our own way, so long as we do not attempt to deprive others of theirs, or impede their efforts to obtain it.",John Stuart Mill,"Good, Long, Way"
Let freedom reign. The sun never set on so glorious a human achievement.,Nelson Mandela,"Achievement, Sun, Never"
Conformity is the jailer of freedom and the enemy of growth.,John F. Kennedy,"Growth, Enemy, Conformity"
"What light is to the eyes - what air is to the lungs - what love is to the heart, liberty is to the soul of man.",Robert Green Ingersoll,"Love, Eyes, Love Is"
The desire of gold is not for gold. It is for the means of freedom and benefit.,Ralph Waldo Emerson,"Gold, Desire, Means"
"Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.",Abraham Lincoln,"Hope, Power, Government"
Order without liberty and liberty without order are equally destructive.,Theodore Roosevelt,"Liberty, Order, Without"
Man is not free unless government is limited.,Ronald Reagan,"Government, Man, Free"
Real freedom is having nothing. I was freer when I didn't have a cent.,Mike Tyson,"Nothing, Real, Freer"
"Liberty, when it begins to take root, is a plant of rapid growth.",George Washington,"Growth, Plant, Liberty"
The boisterous sea of liberty is never without a wave.,Thomas Jefferson,"Sea, Liberty, Never"
It is harder to preserve than to obtain liberty.,John C. Calhoun,"Liberty, Harder, Preserve"
"It is a universal truth that the loss of liberty at home is to be charged to the provisions against danger, real or pretended, from abroad.",James Madison,"Truth, Home, Liberty"
"My father always said, 'Malala will be free as a bird.'",Malala Yousafzai,"Always, Bird, Free"
"Coercion, after all, merely captures man. Freedom captivates him.",Robert McNamara,"Man, After, Him"
"A new breeze is blowing, and a world refreshed by freedom seems reborn; for in man's heart, if not in fact, the day of the dictator is over. The totalitarian era is passing, its old ideas blown away like leaves from an ancient, lifeless tree.",George H. W. Bush,"Heart, Man, Day"
We must be willing to pay a price for freedom.,H. L. Mencken,"Price, Pay, Willing"
Freedom means you are unobstructed in living your life as you choose. Anything less is a form of slavery.,Wayne Dyer,"Life, Your, Slavery"
Freedom is man's capacity to take a hand in his own development. It is our capacity to mold ourselves.,Rollo May,"Man, Own, Development"
Liberty is not a means to a higher political end. It is itself the highest political end.,John Dalberg-Acton,"Political, Liberty, End"
You cannot parcel out freedom in pieces because freedom is all or nothing.,Tertullian,"Nothing, Cannot, Parcel"
"For in the end, freedom is a personal and lonely battle; and one faces down fears of today so that those of tomorrow might be engaged.",Alice Walker,"Today, Tomorrow, Battle"
"In America, through pressure of conformity, there is freedom of choice, but nothing to choose from.",Peter Ustinov,"Nothing, Pressure, America"
Anxiety is the dizziness of freedom.,Soren Kierkegaard,Anxiety
Liberty must be limited in order to be possessed.,Edmund Burke,"Liberty, Must, Order"
You can have peace. Or you can have freedom. Don't ever count on having both at once.,Robert A. Heinlein,"Peace, Once, Count"
"Civilization is the progress toward a society of privacy. The savage's whole existence is public, ruled by the laws of his tribe. Civilization is the process of setting man free from men.",Ayn Rand,"Society, Men, Progress"
"But what is liberty without wisdom, and without virtue? It is the greatest of all possible evils; for it is folly, vice, and madness, without tuition or restraint.",Edmund Burke,"Wisdom, Liberty, Madness"
"As human beings, we are endowed with freedom of choice, and we cannot shuffle off our responsibility upon the shoulders of God or nature. We must shoulder it ourselves. It is our responsibility.",Arnold J. Toynbee,"Nature, God, Responsibility"
Freedom prospers when religion is vibrant and the rule of law under God is acknowledged.,Ronald Reagan,"God, Religion, Law"
"I believe in freedom of speech, but I believe we should also have the right to comment on freedom of speech.",Stockwell Day,"Believe, Freedom Of Speech, I Believe"
'Freedom from fear' could be said to sum up the whole philosophy of human rights.,Dag Hammarskjold,"Fear, Human, Rights"
I only ask to be free. The butterflies are free.,Charles Dickens,"Free, Only, Butterflies"
You have freedom when you're easy in your harness.,Robert Frost,"Your, Easy, Harness"
Freedom of the press is not an end in itself but a means to the end of achieving a free society.,Felix Frankfurter,"Society, Free, End"
Freedom is not worth fighting for if it means no more than license for everyone to get as much as he can for himself.,Dorothy Canfield Fisher,"Fighting, Everyone, Much"
You can only protect your liberties in this world by protecting the other man's freedom.,Clarence Darrow,"Man, Your, World"
"When freedom does not have a purpose, when it does not wish to know anything about the rule of law engraved in the hearts of men and women, when it does not listen to the voice of conscience, it turns against humanity and society.",Pope John Paul II,"Women, Society, Men"
There is danger from all men. The only maxim of a free government ought to be to trust no man living with power to endanger the public liberty.,John Adams,"Trust, Power, Men"
"I need this wild life, this freedom.",Zane Grey,"Life, Wild, Need"
"I am just absolutely convinced that the best formula for giving us peace and preserving the American way of life is freedom, limited government, and minding our own business overseas.",Ron Paul,"Life, Best, Business"
"We're giving our freedoms away. The American experiment was about freedom. Freedom to be stupid, freedom to fail, freedom to succeed.",Glenn Beck,"Stupid, Succeed, American"
Freedom is not enough.,Lyndon B. Johnson,Enough
No nation could preserve its freedom in the midst of continual warfare.,James Madison,"Nation, Preserve, Midst"
Freedom rings where opinions clash.,Adlai Stevenson I,"Opinions, Where, Rings"
None who have always been free can understand the terrible fascinating power of the hope of freedom to those who are not free.,Pearl S. Buck,"Hope, Power, Always"
Freedom is not worth having if it does not connote freedom to err.,Mahatma Gandhi,"Worth, Does, Err"
"It is by the goodness of God that in our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and the prudence never to practice either of them.",Mark Twain,"God, Freedom Of Speech, Practice"
"Freedom is never easily won, but once established, freedom lasts, spreads and chokes out tyranny.",Trent Lott,"Tyranny, Never, Once"
Is freedom anything else than the right to live as we wish? Nothing else.,Epictetus,"Nothing, Wish, Live"
Perfect freedom is as necessary to the health and vigor of commerce as it is to the health and vigor of citizenship.,Patrick Henry,"Health, Perfect, Commerce"
Freedom of opinion can only exist when the government thinks itself secure.,Bertrand Russell,"Government, Opinion, Exist"
Freedom is from within.,Frank Lloyd Wright,Within
We should favor innovation and freedom over regulation.,George Allen,"Innovation, Favor, Over"
"The only sure bulwark of continuing liberty is a government strong enough to protect the interests of the people, and a people strong enough and well enough informed to maintain its sovereign control over the goverment.",Franklin D. Roosevelt,"Government, Control, Enough"
I believe we are on an irreversible trend toward more freedom and democracy - but that could change.,Dan Quayle,"Change, Democracy, Believe"
Freedom granted only when it is known beforehand that its effects will be beneficial is not freedom.,Friedrich August von Hayek,"Will, Only, Known"
Freedom is the only law which genius knows.,James Russell Lowell,"Law, Genius, Only"
"I believe firmly that in making ethical decisions, man has the prerogative of true freedom of choice.",Corliss Lamont,"Man, Believe, True"
To be able to love and live in freedom means to be able to make godly decisions. To make godly decisions we have to surrender our egos and all the falsity and shame that goes with it.,James McGreevey,"Love, Live, Shame"
Human beings crave freedom at their core.,John Ensign,"Human, Core, Crave"
"The momentum of freedom in our world is unmistakable - and it is not carried forward by our power alone. We can trust in that greater power Who guides the unfolding of the years. And in all that is to come, we can know that His purposes are just and true.",George W. Bush,"Alone, Trust, Power"
Perhaps the fact that we have seen millions voting themselves into complete dependence on a tyrant has made our generation understand that to choose one's government is not necessarily to secure freedom.,Friedrich August von Hayek,"Government, Generation, Understand"
"I chose America as my home because I value freedom and democracy, civil liberties and an open society.",George Soros,"Society, Home, Democracy"
"All free men, wherever they may live, are citizens of Berlin. And therefore, as a free man, I take pride in the words 'Ich bin ein Berliner!'",John F. Kennedy,"Men, Man, Pride"
Freedom is absolutely necessary for the progress in science and the liberal arts.,Baruch Spinoza,"Science, Progress, Liberal"
One of the unsung freedoms that go with a free press is the freedom not to read it.,Ferdinand Mount,"Free, Go, Free Press"
The liberty of the individual is a necessary postulate of human progress.,Ernest Renan,"Progress, Liberty, Human"
"As long as men are free to ask what they must, free to say what they think, free to think what they will, freedom can never be lost and science can never regress.",Marcel Proust,"Science, Men, Long"
I think I have a right to live my life the way I like.,Malala Yousafzai,"Life, My Life, Way"
The revelation of thought takes men out of servitude into freedom.,Ralph Waldo Emerson,"Men, Revelation, Thought"
"Freedom is a man's natural power of doing what he pleases, so far as he is not prevented by force or law.",Marcus Tullius Cicero,"Power, Man, Law"
All theory is against freedom of the will; all experience for it.,Samuel Johnson,"Experience, Will, Theory"
Liberation is not deliverance.,Victor Hugo,"Liberation, Deliverance"
"But it wasn't until I graduated from Texas A & M University and joined the United States Air Force, flying C-130's all around the globe, that I truly appreciated the blessings of freedom.",Rick Perry,"Air, University, Blessings"
Free men are the strongest men.,Wendell Willkie,"Men, Free, Free Men"
Freedom is contagious. That's why despots fear it so much.,Bill Owens,"Fear, Why, Much"
The more liberty you give away the more you will have.,Robert Green Ingersoll,"Will, Liberty, More"
Freedom - an occupied space which must be reoccupied every day.,John Ralston Saul,"Space, Day, Every Day"
"Every man must have the right fearlessly to think independently and express his opinion about what he knows, what he has personally thought about and experienced, and not merely to express with slightly different variations the opinion which has been inculcated in him.",Mstislav Rostropovich,"Man, Opinion, Right"
"We do not commonly see in a tax a diminution of freedom, and yet it clearly is one.",Herbert Spencer,"See, Tax, Clearly"
Freedom is the right to one's dignity as a man.,Archibald MacLeish,"Man, Dignity, Right"
"If you're not ready to die for it, put the word 'freedom' out of your vocabulary.",Malcolm X,"Your, Die, Ready"
The link between my experience as an entrepreneur and that of a politician is all in one word: freedom.,Silvio Berlusconi,"Experience, Politician, Link"
The very idea of freedom incites fear in the hearts of terrorists across the world.,Elizabeth Dole,"Fear, World, Hearts"
"Just living is not enough... one must have sunshine, freedom, and a little flower.",Hans Christian Andersen,"Nature, Flower, Sunshine"
The secret to happiness is freedom... And the secret to freedom is courage.,Thucydides,"Happiness, Courage, Secret"
